2025-04-02 10:03:00.147 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:01.145 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:01.146 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:02.086 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:02.087 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:03.192 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:03.193 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:04.120 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:04.121 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:05.104 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:05.104 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:06.190 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:06.190 | DEBUG    | src.ui.device_info_widget:_display_action_info:123 - 显示任务信息: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
2025-04-02 10:03:07.211 | DEBUG    | src.api.robot_api:get_current_action:257 - 任务状态更新: action_id=106, stage=GOING_TO_LANDING_POINT, status=1, result=0
